graph_id,N,depth,seed,method,exp_value
N4_S9,4,7,9,tr_expectation,2.538766384124756
N4_S9,4,7,9,tr_sampling,16.3533992767334
N4_S9,4,7,9,tr_correct_sampling,16.172800000000002
N4_S9,4,8,9,sv,15.807390932001578
N4_S9,4,8,9,tr_expectation,1.3738415241241455
N4_S9,4,8,9,tr_sampling,16.724300384521484
N4_S9,4,8,9,tr_correct_sampling,15.939200000000001
N4_S9,4,9,9,sv,15.318057720153305
N4_S9,4,9,9,tr_expectation,0.7230336666107178
N4_S9,4,9,9,tr_sampling,15.544699668884277
N4_S9,4,9,9,tr_correct_sampling,14.988700000000001
N8_S0,8,1,0,sv,25.832612670473086
N8_S0,8,1,0,tr_expectation,25.832504272460938
N8_S0,8,1,0,tr_sampling,24.656099319458008
N8_S0,8,1,0,tr_correct_sampling,25.791500000000003
N8_S0,8,2,0,sv,23.66651386060526
N8_S0,8,2,0,tr_expectation,23.666439056396484
N8_S0,8,2,0,tr_sampling,24.080799102783203
N8_S0,8,2,0,tr_correct_sampling,23.732300000000002
N8_S0,8,3,0,sv,27.054568234395585
N8_S0,8,3,0,tr_expectation,27.0548095703125
N8_S0,8,3,0,tr_sampling,27.240798950195312
N8_S0,8,3,0,tr_correct_sampling,27.0701
N8_S0,8,4,0,sv,27.575619775229523
N8_S0,8,4,0,tr_expectation,20.953655242919922
N8_S0,8,4,0,tr_sampling,27.075199127197266
N8_S0,8,4,0,tr_correct_sampling,27.364
N8_S0,8,5,0,sv,26.23252401120296
N8_S0,8,5,0,tr_expectation,8.302960395812988
N8_S0,8,5,0,tr_sampling,26.764699935913086
N8_S0,8,5,0,tr_correct_sampling,27.4764
N8_S0,8,6,0,sv,26.480637896289856
N8_S0,8,6,0,tr_expectation,2.57602596282959
N8_S0,8,6,0,tr_sampling,27.35540008544922
N8_S0,8,6,0,tr_correct_sampling,27.668400000000002
N8_S0,8,7,0,sv,28.13243577801758
N8_S0,8,7,0,tr_expectation,0.6882305145263672
N8_S0,8,7,0,tr_sampling,27.24799919128418
N8_S0,8,7,0,tr_correct_sampling,26.858600000000003
N8_S0,8,8,0,sv,26.749237010526603
N8_S0,8,8,0,tr_expectation,0.21976156532764435
N8_S0,8,8,0,tr_sampling,27.452699661254883
N8_S0,8,8,0,tr_correct_sampling,27.2791
N8_S0,8,9,0,sv,27.862143385587384
N8_S0,8,9,0,tr_expectation,0.06136418506503105
N8_S0,8,9,0,tr_sampling,26.954999923706055
N8_S0,8,9,0,tr_correct_sampling,28.084100000000003
N8_S1,8,1,1,sv,38.27280248140181
N8_S1,8,1,1,tr_expectation,38.27291488647461
N8_S1,8,1,1,tr_sampling,38.249000549316406
N8_S1,8,1,1,tr_correct_sampling,38.1484
N8_S1,8,2,1,sv,37.91529386366428
N8_S1,8,2,1,tr_expectation,37.91547775268555
N8_S1,8,2,1,tr_sampling,38.21820068359375
N8_S1,8,2,1,tr_correct_sampling,37.7426
N8_S1,8,3,1,sv,42.049084027720596
N8_S1,8,3,1,tr_expectation,42.05004119873047
N8_S1,8,3,1,tr_sampling,42.32579803466797
N8_S1,8,3,1,tr_correct_sampling,41.9542
N8_S1,8,4,1,sv,39.02500005214651
N8_S1,8,4,1,tr_expectation,32.53370666503906
N8_S1,8,4,1,tr_sampling,39.09000015258789
N8_S1,8,4,1,tr_correct_sampling,39.2426
N8_S1,8,5,1,sv,38.59334893090584
N8_S1,8,5,1,tr_expectation,17.596691131591797
N8_S1,8,5,1,tr_sampling,38.696598052978516
N8_S1,8,5,1,tr_correct_sampling,38.1062
N8_S1,8,6,1,sv,37.8359903979718
N8_S1,8,6,1,tr_expectation,7.3831787109375
N8_S1,8,6,1,tr_sampling,38.40599822998047
N8_S1,8,6,1,tr_correct_sampling,38.461200000000005
N8_S1,8,7,1,sv,39.10575493621053
N8_S1,8,7,1,tr_expectation,2.0442447662353516
N8_S1,8,7,1,tr_sampling,38.569000244140625
N8_S1,8,7,1,tr_correct_sampling,37.656
N8_S1,8,8,1,sv,38.30349263103246
N8_S1,8,8,1,tr_expectation,0.6680312156677246
N8_S1,8,8,1,tr_sampling,38.829200744628906
N8_S1,8,8,1,tr_correct_sampling,38.4782
N8_S1,8,9,1,sv,38.110703182119
N8_S1,8,9,1,tr_expectation,0.16108353435993195
N8_S1,8,9,1,tr_sampling,38.4552001953125
N8_S1,8,9,1,tr_correct_sampling,38.4274
N8_S2,8,1,2,sv,41.37532485885686
N8_S2,8,1,2,tr_expectation,41.37514114379883
N8_S2,8,1,2,tr_sampling,38.888099670410156
N8_S2,8,1,2,tr_correct_sampling,41.2429
N8_S2,8,2,2,sv,37.19764980552801
N8_S2,8,2,2,tr_expectation,37.1977424621582
N8_S2,8,2,2,tr_sampling,37.06089782714844
N8_S2,8,2,2,tr_correct_sampling,37.1141
N8_S2,8,3,2,sv,37.00163159031942
N8_S2,8,3,2,tr_expectation,36.878517150878906
N8_S2,8,3,2,tr_sampling,36.52289962768555
N8_S2,8,3,2,tr_correct_sampling,36.744800000000005
N8_S2,8,4,2,sv,36.19530445080161
N8_S2,8,4,2,tr_expectation,27.27094268798828
N8_S2,8,4,2,tr_sampling,36.98719787597656
N8_S2,8,4,2,tr_correct_sampling,36.3596
N8_S2,8,5,2,sv,37.72628825733975
N8_S2,8,5,2,tr_expectation,17.83131217956543
N8_S2,8,5,2,tr_sampling,38.40129852294922
N8_S2,8,5,2,tr_correct_sampling,38.767
N8_S2,8,6,2,sv,37.504073041772315
N8_S2,8,6,2,tr_expectation,5.735093116760254
N8_S2,8,6,2,tr_sampling,37.04610061645508
N8_S2,8,6,2,tr_correct_sampling,37.1173
N8_S2,8,7,2,sv,37.3108786260599
N8_S2,8,7,2,tr_expectation,1.9642685651779175
N8_S2,8,7,2,tr_sampling,36.2588996887207
N8_S2,8,7,2,tr_correct_sampling,35.7687
N8_S2,8,8,2,sv,35.81867546076978
N8_S2,8,8,2,tr_expectation,0.504034161567688
N8_S2,8,8,2,tr_sampling,36.34299850463867
N8_S2,8,8,2,tr_correct_sampling,35.9426
N8_S2,8,9,2,sv,36.31931022394014
N8_S2,8,9,2,tr_expectation,0.16793304681777954
N8_S2,8,9,2,tr_sampling,36.43109893798828
N8_S2,8,9,2,tr_correct_sampling,35.9339
N8_S3,8,1,3,sv,31.20543763043284
N8_S3,8,1,3,tr_expectation,31.20537757873535
N8_S3,8,1,3,tr_sampling,32.16780090332031
N8_S3,8,1,3,tr_correct_sampling,31.2391
N8_S3,8,2,3,sv,35.92472656036955
N8_S3,8,2,3,tr_expectation,35.92505645751953
